,name,Country,UB_mean_score,UB_std,UB_count,UB_D_mean_score,UB_D_std,UB_E_mean_score,UB_E_std,UB_rank,BB_mean_score,BB_std,BB_count,BB_D_mean_score,BB_D_std,BB_E_mean_score,BB_E_std,BB_rank,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
619,RUBY EVANS,GBR,12.28,0.04,2.0,4.6,0.0,7.68,0.04,181.0,12.64,0.52,3.0,4.77,0.06,7.87,0.54,92.0,13.14,0.38,6.0,5.43,0.08,7.82,0.26,36.0,13.23,0.84,10.0,4.56,0.67,8.74,0.35,85.0,0.7,51.290000000000006,21.0,4,13.03
209,DULCY CAYLOR,USA,12.75,0.56,4.0,5.08,0.15,7.68,0.47,122.5,12.31,0.32,4.0,5.28,0.22,7.04,0.52,142.0,12.54,0.47,4.0,5.35,0.06,7.34,0.38,140.0,13.65,0.21,4.0,5.0,0.0,8.68,0.17,41.0,0.64,51.25,16.0,4,12.81
593,PAULINE SCHAFER,GER,12.95,0.02,2.0,4.8,0.0,8.15,0.02,90.5,13.25,0.61,8.0,5.45,0.26,7.88,0.47,33.0,12.16,0.98,4.0,4.47,0.25,7.76,0.59,217.0,12.85,0.16,2.0,3.9,0.14,8.95,0.02,211.0,0.76,51.21,16.0,4,12.89
24,ALEXA MORENO,MEX,12.37,0.45,6.0,5.45,0.08,6.97,0.42,169.0,11.91,0.57,7.0,4.97,0.19,7.01,0.41,208.0,12.94,0.44,7.0,5.41,0.25,7.52,0.57,60.0,13.93,0.43,12.0,5.2,0.38,8.78,0.24,18.0,0.94,51.15,32.0,4,12.98
702,SYDNEY TURNER,CAN,12.75,0.9,8.0,5.29,0.27,7.46,0.72,124.0,12.77,0.68,8.0,5.42,0.14,7.36,0.54,75.0,12.74,0.32,9.0,4.89,0.36,7.86,0.17,103.0,12.88,0.06,4.0,4.2,0.0,8.68,0.06,195.0,0.59,51.14,29.0,4,12.77
650,SARAH VOSS,GER,12.68,0.79,9.0,5.01,0.24,7.67,0.75,130.0,12.71,0.8,9.0,5.31,0.27,7.4,0.57,82.0,12.4,0.76,8.0,4.96,0.31,7.61,0.46,170.0,13.31,0.68,8.0,4.28,0.3,9.05,0.45,73.0,0.8,51.1,34.0,4,12.77
542,MYLI LEW,USA,13.32,0.8,3.0,5.67,0.25,7.75,0.75,64.0,12.65,0.57,2.0,4.95,0.07,7.7,0.64,89.0,11.98,0.18,2.0,4.6,0.0,7.42,0.11,284.0,13.1,0.13,3.0,4.2,0.0,8.9,0.13,118.5,0.68,51.050000000000004,10.0,4,12.85
105,AVA STEWART,CAN,12.87,0.38,7.0,5.54,0.1,7.33,0.3,107.0,12.75,1.74,4.0,5.85,0.47,6.9,1.3,77.0,12.44,0.26,4.0,4.88,0.05,7.57,0.27,162.0,12.96,0.96,6.0,4.53,0.16,8.76,0.06,163.0,0.88,51.019999999999996,21.0,4,12.79
43,AMELIA DISIDORE,USA,11.88,0.96,8.0,5.04,0.32,6.84,0.79,261.5,12.18,0.76,8.0,5.18,0.69,7.03,0.51,163.0,13.06,0.39,8.0,5.34,0.3,7.73,0.22,45.0,13.86,0.38,8.0,4.8,0.37,9.06,0.22,27.0,1.01,50.980000000000004,32.0,4,12.74
743,VERA POL,NED,13.02,0.15,6.0,5.0,0.11,8.02,0.2,86.0,11.84,0.82,5.0,4.84,0.13,7.04,0.64,227.0,12.58,0.46,7.0,4.8,0.1,7.88,0.34,129.0,13.5,0.15,6.0,4.6,0.0,8.9,0.15,52.0,0.73,50.94,24.0,4,12.77
472,MAELLYSE BRASSART,BEL,12.87,0.85,9.0,5.37,0.27,7.51,0.76,106.0,12.17,1.11,7.0,5.13,0.48,7.04,0.79,165.0,12.52,0.49,7.0,4.9,0.1,7.63,0.4,145.0,13.2,0.16,8.0,4.2,0.0,9.01,0.14,96.5,0.8,50.760000000000005,31.0,4,12.72
163,CHARLOTTE BOOTH,USA,13.2,0.5,8.0,5.6,0.18,7.6,0.57,70.0,11.88,0.69,8.0,4.92,0.2,6.95,0.65,218.5,12.09,0.51,7.0,4.89,0.16,7.29,0.42,242.0,13.58,0.11,7.0,4.71,0.2,8.88,0.22,46.0,0.87,50.75,30.0,4,12.68
720,TISHA VOLLEMAN,NED,12.93,0.46,14.0,5.28,0.13,7.65,0.47,95.0,11.95,0.66,10.0,4.62,0.22,7.35,0.59,202.0,12.8,0.33,13.0,5.02,0.19,7.79,0.27,89.0,13.02,0.25,6.0,4.2,0.0,8.82,0.25,140.0,0.61,50.7,43.0,4,12.68
349,JULIA SOARES,BRA,12.02,0.04,2.0,4.8,0.0,7.22,0.04,233.5,12.59,0.41,8.0,5.32,0.07,7.34,0.45,100.0,13.28,0.3,10.0,5.35,0.07,7.97,0.21,25.0,12.81,0.08,2.0,4.2,0.0,8.61,0.08,225.0,0.52,50.7,22.0,4,12.87
478,MAISA KUUSIKKO,FIN,12.78,0.66,10.0,5.71,0.38,7.07,0.4,120.0,12.45,0.35,10.0,4.83,0.13,7.62,0.29,125.0,12.45,0.54,10.0,5.08,0.13,7.44,0.44,161.0,13.02,0.39,20.0,4.36,0.23,8.72,0.17,141.0,0.53,50.69999999999999,50.0,4,12.74
19,ALBA PETISCO,ESP,12.51,0.85,8.0,5.22,0.13,7.28,0.89,155.0,12.34,0.61,10.0,5.48,0.04,6.87,0.6,137.0,12.89,0.25,9.0,5.21,0.09,7.68,0.2,76.0,12.94,0.42,13.0,4.08,0.3,8.87,0.17,174.0,0.59,50.68,40.0,4,12.69
20,ALEAH FINNEGAN,PHI,11.63,1.13,2.0,4.7,0.28,6.93,0.85,318.0,12.79,0.08,3.0,4.8,0.0,7.99,0.08,72.5,12.91,0.07,3.0,4.63,0.15,8.28,0.21,70.0,13.35,0.43,7.0,4.34,0.32,9.0,0.27,71.0,0.71,50.68,15.0,4,12.92
540,MORGANE OSYSSEK,FRA,11.82,1.02,7.0,5.2,0.15,6.62,0.89,278.0,12.81,0.53,8.0,5.42,0.1,7.39,0.61,68.0,12.98,0.36,13.0,5.32,0.2,7.81,0.2,54.0,13.01,0.38,15.0,4.28,0.26,8.8,0.35,145.0,0.68,50.62,43.0,4,12.77
639,SANNA VEERMAN,NED,13.56,0.7,17.0,6.03,0.34,7.53,0.54,43.0,11.8,0.66,5.0,4.72,0.13,7.1,0.68,236.0,12.08,0.36,5.0,4.8,0.25,7.46,0.32,243.0,13.17,0.18,6.0,4.33,0.21,8.84,0.16,100.0,0.92,50.61,33.0,4,13.0
615,ROMI BROWN,AUS,13.21,0.54,4.0,5.2,0.14,8.01,0.41,69.0,12.02,0.73,3.0,4.73,0.06,7.29,0.69,189.0,12.17,0.67,4.0,4.9,0.18,7.27,0.52,213.0,13.17,0.0,2.0,4.2,0.0,8.97,0.0,101.5,0.77,50.57,13.0,4,12.61
507,MARISSA NEAL,USA,11.86,0.9,8.0,5.18,0.47,6.69,0.92,268.0,12.79,0.53,8.0,4.96,0.12,7.82,0.46,74.0,12.33,0.52,8.0,5.1,0.2,7.27,0.35,184.0,13.58,0.28,8.0,4.5,0.19,9.07,0.14,47.0,0.86,50.559999999999995,32.0,4,12.64
299,HAZUKI WATANABE,JPN,12.48,0.92,3.0,5.47,0.06,7.02,0.87,158.0,12.99,0.71,4.0,5.38,0.13,7.62,0.64,52.0,12.07,0.66,2.0,4.8,0.14,7.27,0.8,246.5,13.0,0.0,1.0,4.2,0.0,8.8,0.0,149.0,0.74,50.54,10.0,4,12.65
265,FILIPA MARTINS,POR,12.55,0.79,7.0,5.26,0.22,7.33,0.67,152.0,12.06,1.41,6.0,4.97,0.08,7.09,1.4,183.0,12.76,0.07,3.0,4.8,0.0,7.96,0.07,99.0,13.11,0.22,3.0,4.2,0.0,8.94,0.17,116.0,0.95,50.48,19.0,4,12.52
553,NATALIA ESCALERA,MEX,12.63,0.76,9.0,5.67,0.25,6.96,0.59,138.0,11.84,0.77,7.0,5.24,0.08,6.61,0.71,225.0,12.76,0.42,9.0,5.09,0.23,7.79,0.29,98.0,13.2,0.31,19.0,4.53,0.1,8.7,0.25,92.0,0.7,50.42999999999999,44.0,4,12.78
206,DOHYUN EOM,KOR,13.1,0.03,3.0,5.5,0.0,7.6,0.03,80.0,11.97,1.16,4.0,5.68,0.22,6.29,1.04,197.0,12.75,0.16,2.0,5.0,0.0,7.75,0.16,102.0,12.6,0.0,1.0,4.2,0.0,8.4,0.0,300.5,0.85,50.42,10.0,4,12.53
217,ELISABETH GEURTS,NED,13.1,0.0,1.0,5.0,0.0,8.1,0.0,78.0,11.25,0.0,1.0,4.7,0.0,6.55,0.0,356.0,12.0,0.0,1.0,5.0,0.0,7.1,0.0,271.0,14.0,0.0,1.0,5.0,0.0,9.0,0.0,17.0,1.21,50.35,4.0,4,12.59
396,KOKORO FUKASAWA,JPN,12.02,1.49,6.0,5.77,0.42,6.26,1.21,236.0,12.18,1.01,2.0,5.15,0.07,7.03,0.94,161.5,12.63,0.0,1.0,5.3,0.0,7.33,0.0,118.5,13.47,0.13,3.0,4.6,0.0,8.87,0.13,55.0,1.23,50.3,12.0,4,12.46
198,DENELLE PEDRICK,CAN,12.43,0.0,1.0,4.3,0.0,8.13,0.0,162.5,11.88,0.66,4.0,5.35,0.37,6.52,0.49,218.5,12.86,0.39,4.0,5.1,0.12,7.76,0.32,80.0,13.11,0.91,10.0,4.52,0.62,8.61,0.35,115.0,0.88,50.28,19.0,4,12.76
701,SYDNEY TATIANA BARROS,PUR,12.93,0.05,2.0,5.15,0.07,7.78,0.02,93.0,11.97,0.0,1.0,4.9,0.0,7.07,0.0,195.0,12.47,0.0,1.0,5.0,0.0,7.47,0.0,154.5,12.9,0.0,1.0,4.2,0.0,8.7,0.0,185.5,0.43,50.269999999999996,5.0,4,12.64
117,BETTINA LILI CZIFRA,HUN,12.65,0.12,2.0,5.15,0.07,7.5,0.05,135.0,12.44,1.24,4.0,5.42,0.13,7.04,1.13,126.0,12.13,0.0,2.0,4.95,0.07,7.18,0.07,227.0,13.03,0.85,2.0,4.6,0.57,8.58,0.07,138.5,0.83,50.25,10.0,4,12.54
347,JULIA DAS NEVES BOTEGA SOARES,BRA,12.32,0.45,2.0,4.9,0.0,7.42,0.45,176.0,12.37,0.09,2.0,5.2,0.0,7.22,0.16,132.0,12.97,0.09,2.0,5.2,0.14,7.97,0.24,55.0,12.53,0.0,1.0,4.2,0.0,8.33,0.0,326.0,0.35,50.19,7.0,4,12.55
354,JUTTA VERKEST,BEL,12.92,0.07,3.0,4.77,0.06,8.16,0.05,96.0,11.91,1.2,6.0,5.0,0.53,6.92,1.0,209.0,12.4,0.39,7.0,4.77,0.14,7.63,0.28,165.0,12.95,0.14,6.0,4.2,0.0,8.75,0.14,169.0,0.76,50.17999999999999,22.0,4,12.49
428,LEVI JUNG-RUIVIVAR,USA,12.66,0.66,8.0,5.3,0.28,7.36,0.44,134.0,12.04,0.97,9.0,4.92,0.16,7.14,0.79,185.0,12.14,0.87,8.0,4.9,0.08,7.46,0.73,225.0,13.32,0.16,6.0,4.53,0.16,8.78,0.16,72.0,0.88,50.160000000000004,31.0,4,12.47
365,KARINA SCHONMAIER,GER,12.59,0.41,3.0,5.0,0.26,7.59,0.15,141.0,11.92,0.18,4.0,4.58,0.24,7.34,0.14,207.0,12.48,0.18,3.0,4.67,0.06,7.81,0.13,152.0,13.13,0.22,5.0,4.12,0.18,9.01,0.13,114.0,0.53,50.12,15.0,4,12.57
179,CIENA ALIPIO,USA,12.54,0.25,4.0,4.55,0.06,7.99,0.21,153.5,12.8,1.19,4.0,5.4,0.54,7.4,0.79,70.0,11.84,0.36,4.0,4.62,0.25,7.24,0.45,323.0,12.91,0.64,4.0,4.6,0.0,8.44,0.52,182.0,0.77,50.09,16.0,4,12.52
538,MISAKI MASUI,JPN,12.1,0.0,1.0,4.7,0.0,7.4,0.0,213.5,12.82,0.64,2.0,5.15,0.35,7.67,0.28,66.0,12.67,0.05,2.0,5.3,0.0,7.37,0.05,113.0,12.47,0.94,2.0,3.8,0.85,8.67,0.09,347.0,0.53,50.06,7.0,4,12.57
785,ZOJA SZEKELY,HUN,13.36,0.64,16.0,5.79,0.2,7.57,0.54,58.0,11.55,0.75,5.0,4.76,0.11,6.89,0.65,281.0,12.15,0.16,6.0,4.57,0.08,7.58,0.12,221.5,12.97,0.09,3.0,4.2,0.0,8.77,0.09,160.0,0.91,50.03,30.0,4,12.78
37,AMALIA GHIGOARTA,ROU,11.54,1.97,3.0,4.5,0.95,7.04,1.03,333.0,12.84,0.29,4.0,5.3,0.22,7.54,0.44,62.0,12.57,0.24,2.0,5.1,0.0,7.62,0.02,133.0,13.07,0.09,2.0,4.2,0.0,8.87,0.09,128.0,1.09,50.02,11.0,4,12.48
628,SABRINA MANECA VOINEA,ROU,10.78,0.21,2.0,5.0,0.42,5.78,0.21,436.0,12.67,1.62,4.0,5.72,0.49,6.97,1.13,87.0,13.59,0.18,6.0,5.85,0.21,7.74,0.09,14.0,12.97,0.93,9.0,4.49,0.61,8.58,0.35,158.0,1.17,50.01,21.0,4,12.88
724,TONYA PAULSSON,SWE,12.86,0.23,6.0,4.82,0.1,8.04,0.3,108.0,11.82,0.82,7.0,4.84,0.42,7.01,0.74,230.0,12.08,0.58,7.0,4.46,0.26,7.78,0.31,244.0,13.15,0.26,5.0,4.2,0.0,8.97,0.23,104.0,0.76,49.91,25.0,4,12.41
620,RUBY PASS,AUS,13.18,0.88,4.0,5.52,0.55,7.66,0.36,73.0,12.25,0.87,4.0,5.28,0.4,6.97,0.57,148.0,12.56,0.25,5.0,4.98,0.11,7.66,0.2,137.0,11.9,0.0,1.0,4.6,0.0,7.6,0.0,509.0,0.74,49.89,14.0,4,12.6
386,KELLY SIMM,GBR,12.59,0.83,4.0,5.78,0.33,6.81,0.59,144.0,11.73,0.83,3.0,4.8,0.1,6.93,0.78,248.0,12.81,0.1,4.0,4.8,0.0,8.01,0.1,87.0,12.75,0.0,1.0,4.2,0.0,8.55,0.0,244.5,0.72,49.88,12.0,4,12.46
13,AHTZIRI SANDOVAL,MEX,13.19,0.35,8.0,5.52,0.18,7.67,0.29,71.0,11.19,0.68,3.0,4.8,0.1,6.39,0.74,374.0,12.02,0.16,6.0,4.57,0.15,7.46,0.26,262.0,13.47,0.53,19.0,4.85,0.54,8.63,0.13,56.0,0.88,49.87,36.0,4,12.98
329,JENNA LALONDE,CAN,12.85,0.53,4.0,4.9,0.14,7.95,0.4,109.0,11.94,0.62,3.0,4.6,0.36,7.34,0.65,203.0,12.27,0.09,2.0,4.7,0.0,7.77,0.38,195.5,12.8,0.0,1.0,4.2,0.0,8.6,0.0,228.5,0.6,49.86,10.0,4,12.46
417,LAURIE DENOMMEE,CAN,12.5,0.32,5.0,4.9,0.0,7.6,0.32,157.0,11.36,0.41,3.0,5.03,0.15,6.32,0.37,327.5,12.92,0.27,6.0,5.07,0.12,7.85,0.22,68.0,13.08,0.36,10.0,4.28,0.29,8.8,0.16,123.0,0.65,49.86,24.0,4,12.7
331,JENNIFER WILLIAMS,SWE,12.0,0.0,1.0,5.0,0.0,7.0,0.0,240.5,12.1,0.0,1.0,5.5,0.0,6.6,0.0,177.0,12.57,0.0,1.0,4.7,0.0,7.97,0.0,135.0,13.17,0.0,1.0,4.2,0.0,9.07,0.0,101.5,0.53,49.84,4.0,4,12.46
77,ANNA LENA KOENIG,GER,12.07,0.0,1.0,4.3,0.0,7.77,0.0,221.0,11.82,0.16,2.0,4.65,0.07,7.17,0.24,233.0,12.87,0.21,4.0,5.0,0.0,7.87,0.21,77.0,13.08,0.12,2.0,4.4,0.0,8.68,0.12,125.0,0.55,49.839999999999996,9.0,4,12.59
416,LAUREN LITTLE,USA,13.32,0.18,2.0,5.45,0.07,7.88,0.11,63.0,12.28,0.18,2.0,4.95,0.07,7.32,0.11,146.0,11.4,0.0,1.0,4.8,0.0,6.6,0.0,440.0,12.82,0.04,2.0,4.2,0.0,8.62,0.04,221.0,0.69,49.82,7.0,4,12.61
76,ANNA LASHCHEVSKA,UKR,12.74,0.63,7.0,5.54,0.14,7.2,0.54,125.0,12.58,1.08,8.0,5.61,0.17,7.0,1.0,101.0,11.71,0.41,3.0,4.97,0.12,6.74,0.4,344.0,12.78,0.07,2.0,4.2,0.0,8.58,0.07,236.0,0.84,49.81,20.0,4,12.53
461,LUISA BLANCO,COL,11.83,0.19,2.0,3.7,0.0,8.13,0.19,275.0,12.21,0.05,3.0,5.13,0.12,7.14,0.07,155.0,12.25,0.45,2.0,4.35,0.07,7.9,0.38,201.5,13.45,0.26,2.0,4.6,0.0,8.85,0.26,60.0,0.64,49.739999999999995,9.0,4,12.41
146,CAROLYNE MERCER WINCHE PEDRO,BRA,12.27,1.08,2.0,5.25,0.07,7.02,1.01,183.5,12.35,0.17,2.0,4.85,0.21,7.5,0.05,135.0,12.42,0.07,2.0,4.9,0.0,7.52,0.07,164.0,12.68,0.12,2.0,4.2,0.0,8.48,0.12,270.0,0.45,49.72,8.0,4,12.43
287,GRACE DAVIES,GBR,12.35,0.85,2.0,4.85,0.21,7.5,0.64,173.0,12.65,0.0,2.0,5.1,0.0,7.55,0.0,89.0,12.05,0.0,1.0,5.1,0.0,7.05,0.0,250.5,12.65,0.14,2.0,4.0,0.28,8.65,0.14,285.0,0.42,49.699999999999996,7.0,4,12.48
413,LAURA CASABUENA,ESP,12.64,0.45,11.0,5.03,0.16,7.62,0.4,136.0,11.49,1.54,10.0,5.31,0.22,6.22,1.4,300.0,12.79,0.41,14.0,5.02,0.13,7.77,0.34,93.0,12.77,0.5,15.0,4.04,0.29,8.73,0.36,240.0,0.92,49.69,50.0,4,12.49
310,IOANA STANCIULESCU,ROU,12.9,0.51,4.0,5.72,0.15,7.17,0.38,103.0,12.58,0.54,4.0,5.62,0.1,6.95,0.53,103.0,11.43,0.0,1.0,5.4,0.0,6.33,0.0,429.0,12.73,0.27,4.0,4.0,0.23,8.73,0.07,252.0,0.55,49.64,13.0,4,12.64
126,BROOKE PIERSON,USA,12.89,0.64,6.0,5.3,0.17,7.59,0.62,104.0,11.51,1.02,6.0,4.83,0.15,6.71,1.07,290.0,11.71,0.56,6.0,4.88,0.15,6.82,0.51,345.0,13.41,0.37,6.0,4.47,0.21,8.96,0.22,65.0,1.04,49.519999999999996,24.0,4,12.38
581,OLIVIA REAGAN MAFES KELLY,BAR,11.87,0.0,1.0,4.3,0.0,7.57,0.0,263.0,12.27,0.0,1.0,4.8,0.0,7.47,0.0,147.0,12.47,0.0,1.0,5.0,0.0,7.47,0.0,154.5,12.87,0.0,1.0,4.2,0.0,8.67,0.0,200.5,0.42,49.48,4.0,4,12.37
611,RIFDA IRFANALUTHFI,INA,12.26,0.41,7.0,4.29,0.29,7.98,0.35,186.0,11.69,0.94,6.0,4.7,0.17,6.99,0.82,258.5,12.58,0.18,7.0,4.76,0.05,7.82,0.19,131.0,12.94,0.25,14.0,4.09,0.15,8.85,0.14,175.0,0.64,49.47,34.0,4,12.51
664,SHANNON ARCHER,GBR,11.92,0.47,4.0,4.8,0.16,7.12,0.53,252.0,11.86,1.09,4.0,5.22,0.05,6.64,1.09,221.0,12.36,0.61,4.0,4.62,0.1,7.74,0.57,175.0,13.2,0.52,9.0,4.73,0.32,8.54,0.37,91.0,0.87,49.34,21.0,4,12.54
147,CAROLYNE PEDRO,BRA,12.02,1.1,5.0,4.78,0.51,7.24,0.71,235.0,11.89,0.33,4.0,4.7,0.32,7.19,0.56,215.0,12.4,0.35,4.0,5.03,0.1,7.37,0.26,168.0,13.03,0.12,3.0,4.2,0.0,8.83,0.12,137.0,0.74,49.34,16.0,4,12.27
718,TILLY WRIGHT,GBR,11.9,0.0,1.0,4.5,0.0,7.4,0.0,256.5,12.68,0.39,2.0,4.85,0.07,7.82,0.32,86.0,12.25,0.0,1.0,4.4,0.0,7.85,0.0,200.0,12.5,0.0,1.0,3.6,0.0,8.9,0.0,335.5,0.38,49.33,5.0,4,12.4
268,FLOOR SLOOFF,NED,12.1,0.0,1.0,4.3,0.0,7.8,0.0,213.5,12.23,0.47,2.0,4.95,0.07,7.28,0.4,153.0,12.39,0.72,3.0,4.93,0.25,7.49,0.56,172.0,12.6,0.54,8.0,3.85,0.44,8.75,0.13,302.0,0.53,49.32,14.0,4,12.47
62,ANDREEA PREDA,ROU,12.06,0.82,5.0,4.98,0.18,7.08,0.75,222.0,12.32,0.37,6.0,4.82,0.22,7.51,0.35,141.0,12.29,0.64,7.0,4.87,0.21,7.44,0.48,192.0,12.63,0.41,5.0,4.04,0.36,8.59,0.13,292.0,0.58,49.300000000000004,23.0,4,12.32
557,NATHALIE WESTLUND,SWE,12.82,0.49,7.0,5.21,0.19,7.6,0.48,117.0,11.83,0.8,6.0,4.7,0.06,7.14,0.8,229.0,11.98,0.29,6.0,4.27,0.1,7.71,0.38,283.0,12.63,0.37,3.0,4.0,0.35,8.63,0.24,291.0,0.67,49.26,22.0,4,12.3
107,AVERY MOLL,USA,12.25,0.0,1.0,5.4,0.0,6.85,0.0,189.5,11.6,0.0,1.0,5.0,0.0,6.6,0.0,273.5,12.45,0.0,1.0,4.8,0.0,7.65,0.0,159.0,12.9,0.0,1.0,4.6,0.0,8.6,0.0,185.5,0.54,49.199999999999996,4.0,4,12.3
466,MACY PEGOLI,AUS,11.95,0.0,1.0,4.9,0.0,7.05,0.0,250.0,12.35,0.0,1.0,4.7,0.0,7.65,0.0,136.0,11.65,0.0,1.0,4.0,0.0,7.65,0.0,372.0,13.25,0.0,1.0,4.2,0.0,9.05,0.0,81.5,0.7,49.199999999999996,4.0,4,12.3
196,DAYEONG LEE,KOR,12.4,0.68,6.0,5.07,0.23,7.33,0.58,167.0,11.77,0.95,4.0,4.65,0.1,7.12,0.9,242.0,12.06,1.01,6.0,5.02,0.35,7.11,0.75,248.0,12.95,0.32,4.0,4.2,0.0,8.82,0.19,170.0,0.85,49.18000000000001,20.0,4,12.28
426,LENA BICKEL,SUI,11.75,0.73,2.0,4.7,0.0,7.05,0.73,297.5,11.35,1.91,2.0,5.1,0.0,6.25,1.91,329.5,12.77,0.38,2.0,5.2,0.14,7.57,0.24,96.0,13.27,0.14,2.0,4.2,0.0,9.07,0.14,79.0,1.14,49.14,8.0,4,12.28
239,EMILY WHITEHEAD,AUS,11.95,0.93,3.0,5.07,0.25,6.88,0.68,249.0,12.18,0.32,2.0,4.75,0.07,7.42,0.25,164.0,12.59,0.51,4.0,5.0,0.0,7.67,0.5,128.0,12.4,0.57,6.0,4.4,0.31,8.24,0.5,361.0,0.6,49.12,15.0,4,12.33
764,YI CHUN LIAO,TPE,11.78,0.4,2.0,4.9,0.0,6.88,0.4,286.0,12.4,0.49,3.0,5.03,0.23,7.37,0.42,129.0,12.63,0.53,3.0,5.03,0.15,7.6,0.45,116.5,12.3,0.52,2.0,3.5,0.14,8.8,0.38,394.5,0.51,49.11,10.0,4,12.32
419,LEA QUAAS,GE1,12.3,0.0,1.0,4.2,0.0,8.1,0.0,177.5,12.0,0.0,1.0,5.3,0.0,6.7,0.0,191.0,11.85,0.0,1.0,4.8,0.0,7.05,0.0,318.0,12.95,0.0,1.0,4.2,0.0,8.75,0.0,166.5,0.49,49.099999999999994,4.0,4,12.27
445,LORENA MEDINA COBOS,ESP,12.43,0.19,2.0,5.2,0.0,7.23,0.19,162.5,11.65,0.92,2.0,4.8,0.28,6.85,1.2,267.0,12.22,0.26,2.0,4.75,0.07,7.47,0.19,204.0,12.79,0.33,4.0,4.05,0.3,8.74,0.07,234.0,0.59,49.089999999999996,10.0,4,12.38
132,CAITLIN ROOSKRANTZ,RSA,12.71,0.55,8.0,5.49,0.25,7.22,0.4,128.0,11.44,0.4,7.0,4.77,0.19,6.67,0.44,314.0,12.09,0.71,6.0,4.72,0.19,7.39,0.55,239.0,12.84,0.23,3.0,4.2,0.0,8.64,0.23,213.0,0.76,49.08,24.0,4,12.2
597,POPPY STICKLER,GBR,11.6,1.09,9.0,4.91,0.19,6.69,1.04,323.0,12.13,0.57,10.0,4.82,0.15,7.32,0.59,167.0,12.82,0.47,14.0,5.11,0.2,7.75,0.45,86.0,12.53,1.0,11.0,4.15,0.36,8.75,0.17,327.0,0.89,49.08,44.0,4,12.34
302,HIMA KUSUMOTO,JPN,12.6,0.0,1.0,5.3,0.0,7.3,0.0,140.0,12.63,0.09,2.0,5.25,0.07,7.38,0.02,95.5,10.8,0.0,1.0,4.7,0.0,6.4,0.0,576.0,13.0,0.0,1.0,5.0,0.0,8.3,0.0,149.0,0.87,49.03,5.0,4,12.33
420,LEA QUAAS,GER,12.21,0.53,5.0,4.62,0.25,7.59,0.54,195.0,11.81,0.61,6.0,5.0,0.18,6.81,0.53,234.0,11.86,0.63,6.0,4.73,0.2,7.41,0.36,314.0,13.13,0.24,2.0,4.2,0.0,8.93,0.24,112.0,0.67,49.010000000000005,19.0,4,12.07
571,NOEMIE LOUON,BEL,12.93,0.0,1.0,4.9,0.0,8.03,0.0,94.0,12.51,0.66,3.0,4.83,0.06,7.67,0.71,114.0,10.85,0.0,1.0,4.4,0.0,6.45,0.0,569.0,12.7,0.0,1.0,4.2,0.0,8.5,0.0,263.5,0.85,48.989999999999995,6.0,4,12.34
288,GRETA MAYER,HUN,11.08,0.74,4.0,4.2,0.36,6.88,0.66,390.0,12.55,0.31,10.0,5.17,0.15,7.39,0.32,108.0,12.39,1.06,14.0,4.96,0.12,7.48,0.9,171.0,12.96,0.35,25.0,4.06,0.34,8.91,0.15,162.0,0.8,48.980000000000004,53.0,4,12.59
114,BARBORA MOKOSOVA,SVK,12.67,0.82,18.0,5.06,0.14,7.63,0.66,131.0,12.09,0.47,17.0,4.31,0.23,7.79,0.34,180.0,12.2,0.09,2.0,4.5,0.0,7.8,0.05,210.0,12.0,0.38,2.0,3.6,0.0,8.45,0.31,489.0,0.7,48.959999999999994,39.0,4,12.36
681,SKYLAR DRASER,USA,12.8,0.0,1.0,5.1,0.0,7.7,0.0,118.0,12.15,0.0,1.0,5.3,0.0,6.85,0.0,166.0,11.65,0.0,1.0,4.5,0.0,7.15,0.0,372.0,12.35,0.0,1.0,5.0,0.0,7.35,0.0,380.0,0.48,48.95,4.0,4,12.24
586,PAITYN WALKER,USA,13.55,0.0,1.0,5.7,0.0,7.85,0.0,44.0,11.7,0.0,1.0,4.9,0.0,6.8,0.0,253.5,11.05,0.0,1.0,4.7,0.0,6.45,0.0,535.0,12.65,0.0,1.0,4.2,0.0,8.45,0.0,285.0,1.09,48.949999999999996,4.0,4,12.24
403,KYLEE KVAMME,PHI,11.77,0.71,2.0,4.65,0.64,7.12,0.07,292.5,11.7,0.85,2.0,4.55,0.49,7.15,0.35,253.5,12.05,0.83,2.0,4.8,0.14,7.25,0.68,254.0,13.4,0.0,1.0,4.6,0.0,8.8,0.0,66.0,0.83,48.919999999999995,7.0,4,12.06
483,MALI MORGAN,GBR,11.8,0.14,2.0,4.0,0.57,7.8,0.42,282.0,12.47,0.48,3.0,5.03,0.06,7.43,0.53,119.0,12.05,0.97,3.0,4.5,0.2,7.58,0.86,252.5,12.58,0.66,8.0,3.85,0.44,8.76,0.19,311.0,0.67,48.900000000000006,16.0,4,12.36
243,EMMA MALEWSKI,GE1,12.4,0.0,1.0,5.5,0.0,6.9,0.0,165.0,12.45,0.0,1.0,5.3,0.0,7.15,0.0,123.5,11.65,0.0,1.0,4.6,0.0,7.15,0.0,372.0,12.4,0.0,1.0,3.6,0.0,8.8,0.0,364.0,0.38,48.9,4.0,4,12.22
